Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 1,Counts of businesses,By industry group,Agriculture,Maori authorities,Counts,207,2017
Table 1,Counts of businesses,By industry group,Agriculture,Maori authorities,Counts,201,2018
Table 1,Counts of businesses,By industry group,Agriculture,Maori authorities,Counts,207,2019
Table 1,Counts of businesses,By industry group,Agriculture,Maori authorities,Counts,213,2020
Table 1,Counts of businesses,By industry group,Agriculture,Maori authorities,Counts,213,2021
Table 1,Counts of businesses,By industry group,Other primary industries,Maori authorities,Counts,75,2017
Table 1,Counts of businesses,By industry group,Other primary industries,Maori authorities,Counts,84,2018
Table 1,Counts of businesses,By industry group,Other primary industries,Maori authorities,Counts,69,2019
Table 1,Counts of businesses,By industry group,Other primary industries,Maori authorities,Counts,81,2020
Table 1,Counts of businesses,By industry group,Other primary industries,Maori authorities,Counts,84,2021
Table 1,Counts of businesses,By industry group,Non-residential property operators,Maori authorities,Counts,363,2017
Table 1,Counts of businesses,By industry group,Non-residential property operators,Maori authorities,Counts,378,2018
Table 1,Counts of businesses,By industry group,Non-residential property operators,Maori authorities,Counts,393,2019
Table 1,Counts of businesses,By industry group,Non-residential property operators,Maori authorities,Counts,381,2020
Table 1,Counts of businesses,By industry group,Non-residential property operators,Maori authorities,Counts,366,2021
Table 1,Counts of businesses,By industry group,All other industries,Maori authorities,Counts,480,2017
Table 1,Counts of businesses,By industry group,All other industries,Maori authorities,Counts,501,2018
Table 1,Counts of businesses,By industry group,All other industries,Maori authorities,Counts,534,2019
Table 1,Counts of businesses,By industry group,All other industries,Maori authorities,Counts,555,2020
Table 1,Counts of businesses,By industry group,All other industries,Maori authorities,Counts,537,2021
Table 1,Counts of businesses,By industry group,Total,Maori authorities,Counts,1128,2017
Table 1,Counts of businesses,By industry group,Total,Maori authorities,Counts,1164,2018
Table 1,Counts of businesses,By industry group,Total,Maori authorities,Counts,1209,2019
Table 1,Counts of businesses,By industry group,Total,Maori authorities,Counts,1230,2020
Table 1,Counts of businesses,By industry group,Total,Maori authorities,Counts,1197,2021
Table 2,Counts of employees,By industry group,Agriculture,Maori authorities,Counts,1250,2017
Table 2,Counts of employees,By industry group,Agriculture,Maori authorities,Counts,1300,2018
Table 2,Counts of employees,By industry group,Agriculture,Maori authorities,Counts,1500,2019
Table 2,Counts of employees,By industry group,Agriculture,Maori authorities,Counts,1750,2020
Table 2,Counts of employees,By industry group,Agriculture,Maori authorities,Counts,1700,2021
